*Order Id,Order Date as dd-mm-yyyy hh:MM,*Channel,*Payment Method(COD/Prepaid),*Customer First Name,*Customer Last Name,*Email,*Customer Mobile,*Shipping Address Line 1,*Shipping Address Line 2,*Shipping Address Country,*Shipping Address State,*Shipping Address City,*Shipping Address Postcode,Billing Address Line 1,Billing Address Line 2,Billing Address Country,Billing Address State,Billing Address City,Billing Address Postcode,*Master SKU,*Product Name,*Product Quantity,Tax %,"*Selling Price(Per Unit Item, Inclusive of Tax)",Discount(Per Unit Item),Shipping Charges(Per Order),COD Charges(Per Order),Gift Wrap Charges(Per Order),Total Discount (Per Order),*Length (cm),*Breadth (cm),*Height (cm),Weight Of Shipment(kg),Send Notification(True/False),Comment,HSN Code,Pickup Location Id
saaslalala_1,31-07-2018 21:09,CUSTOM,COD,Martin,Jay,martin@xyz.com,9789787878,XYZ lane,B Block,India,Delhi222,Delhi,743710,XYZ lane,B Block,India,Delhi,Delhi,110030,BlackTshirt,Black tshirt XL,2,7,1000,250,10,10,20,10,10,10,10,0.5,,reseller:!@#$%^&*()-_=+,123456,248
saaslalala_11_2,31-07-2018 21:09,CUSTOM,COD,Martin,Jay,martin@xyz.com,9789787878,XYZ lane,B Block,India,Delhi,Delhi,110030,XYZ lane,B Block,India,Delhi,Delhi,110030,BlackTshirt,Black tshirt XL,2,7,1000,250,10,10,20,10,10,10,10,0.5,,"reseller:Bottle,Cup",123456,
saaslalala11_3,31-07-2018 21:09,CUSTOM,COD,Martin,Jay,martin@xyz.com,9789787878,XYZ lane,B Block,India,Delhi,Delhi,110030,XYZ lane,B Block,India,Delhi,Delhi,110030,BlackTshirt,Black tshirt XL,2,7,1000,250,10,10,20,10,10,10,10,0.5,,"reseller:23,24",123456,
saaslalala_11_4,31-07-2018 21:09,CUSTOM,COD,Martin,Jay,martin@xyz.com,9789787878,XYZ lane,B Block,India,Delhi,Delhi,110030,XYZ lane,B Block,India,Delhi,Delhi,110030,BlackTshirt,Black tshirt XL,2,7,1000,250,10,10,20,10,10,10,10,0.5,,reseller:!@#$%^&*()-_=+,123456,
saaslalala_11_5,31-07-2018 21:09,CUSTOM,COD,Martin,Jay,martin@xyz.com,9789787878,XYZ lane,B Block,India,Delhi,Delhi,110030,XYZ lane,B Block,India,Delhi,Delhi,110030,BlackTshirt,Black tshirt XL,2,7,1000,250,10,10,20,10,10,10,10,0.5,,reseller:,123456,
saaslalala_11_6,31-07-2018 21:09,CUSTOM,COD,Martin,Jay,martin@xyz.com,9789787878,XYZ lane,B Block,India,Delhi,Delhi,110030,XYZ lane,B Block,India,Delhi,Delhi,110030,BlackTshirt,Black tshirt XL,2,7,1000,250,10,10,20,10,10,10,10,0.5,,,123456,249
saaslalala_11_7,31-07-2018 21:09,CUSTOM,COD,Martin,Jay,martin@xyz.com,9789787878,XYZ lane,B Block,India,Delhi,Delhi,110030,XYZ lane,B Block,India,Delhi,Delhi,110030,BlackTshirt,Black tshirt XL,2,7,1000,250,10,10,20,10,10,10,10,0.5,,fsaaslalalafd,123456,248
saaslalala_11_8,31-07-2018 21:09,CUSTOM,COD,Martin,Jay,martin@xyz.com,9789787878,XYZ lane,B Block,India,Delhi,Delhi,110030,XYZ lane,B Block,India,Delhi,Delhi,110030,BlackTshirt,Black tshirt XL,2,7,1000,250,10,10,20,10,10,10,10,0.5,,reseller,123456,
saaslalala_11_9,31-07-2018 21:09,CUSTOM,COD,Martin,Jay,martin@xyz.com,9789787878,XYZ lane,B Block,India,Delhi,Delhi,110030,XYZ lane,B Block,India,Delhi,Delhi,110030,BlackTshirt,Black tshirt XL,2,7,1000,250,10,10,20,10,10,10,10,0.5,,"Reseller:Bottle,Cup",123456,
saaslalala_11_10,31-07-2018 21:09,CUSTOM,COD,Martin,Jay,martin@xyz.com,9789787878,XYZ lane,B Block,India,Delhi,Delhi,110030,XYZ lane,B Block,India,Delhi,Delhi,110030,BlackTshirt,Black tshirt XL,2,7,1000,250,10,10,20,10,10,10,10,0.5,,,123456,
